id,oai_identifier,oai_datestamp,auth_name,auth_date,auth_activity,auth_occupation,auth_biography,auth_datestamp,nkp_aut_url,cover,ts,harvest_max_eshop,harvest_last_time,viafID
mzk2006343127,oai:aleph-nkp.cz:AUT10-000343127,2014-09-02T00:00:33Z,"Pilný, Ivan,",1944-,NULL,NULL,"Narozen 6. 7. 1944 v Praze. Ing., informatik, první ředitel české pobočky Microsoftu, práce o počátcích programování, též politik.",20140901083838.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000343127&local_base=AUT,1387070,"2016-03-06 10:37:49",7039,"2016-08-22 11:11:27",84669202
mzk2006348522,oai:aleph-nkp.cz:AUT10-000348522,2012-06-30T22:33:29Z,"Mezoun, Jan,",1542-1578,NULL,NULL,"Narozen 1542 v Jindřichově Hradci, zemřel 6.2.1578 v Brně. Kněz, v letech 1576-1578 olomoucký biskup.",20081118074353.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000348522&local_base=AUT,1387070,"2016-03-05 23:05:49",7040,"2016-08-24 00:00:00",84671358
mzk2006353825,oai:aleph-nkp.cz:AUT10-000353825,2012-06-30T22:31:02Z,"Dědič, František,",1963-,NULL,NULL,"Narozen 7.3.1963. Ing. ekonomie, starosta města Tábora, regionální publicistika z Táborska.",20071008142632.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000353825&local_base=AUT,1387070,"2016-03-05 22:31:03",7040,"2016-08-24 00:00:00",84674933
mzk2006353876,oai:aleph-nkp.cz:AUT10-000353876,2012-06-30T22:31:02Z,"Zaviačič, Jaroslav,",1965-,NULL,NULL,"Narozen 1965. Vicemistr světa v psaní na stroji, zakladatel internetové školy, metodické materiály o zpracovávání textů.",20071010095929.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000353876&local_base=AUT,1387070,"2016-03-05 22:30:55",7040,"2016-08-24 00:00:00",84675351
mzk2006353953,oai:aleph-nkp.cz:AUT10-000353953,2012-12-21T01:00:44Z,"Pípal, Pavel,",1938-2012,NULL,NULL,"Narozen 11. 4. 1938 v Pelhřimově, zemřel 15. 12. 2012 v Praze. Divadelní a filmový herec, dabér.",20121220072822.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000353953&local_base=AUT,1387070,"2016-03-06 00:12:26",7040,"2016-08-24 00:00:00",84675984
mzk2006356159,oai:aleph-nkp.cz:AUT10-000356159,2012-06-30T22:31:11Z,"Tati, Jacques,",1907-1982,NULL,NULL,"Francouzský herec a režisér.",20090129113129.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000356159&local_base=AUT,1387070,"2016-03-05 22:32:55",7040,"2016-08-24 00:00:00",96523795
mzk2006368169,oai:aleph-nkp.cz:AUT10-000368169,2012-06-30T22:31:57Z,"Wolf, Petr,",1960-,NULL,NULL,"Narozen 11. 6. 1960. Doc. Ing., CSc., ekonom, práce z managementu, ekonomického softwaru a informačních systémů. Politik, podnikatel.",20091126083943.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000368169&local_base=AUT,1387070,"2016-03-05 22:45:22",7040,"2016-08-24 00:00:00",84687665
mzk2007377699,oai:aleph-nkp.cz:AUT10-000377699,2012-06-30T22:32:33Z,"Chytka, Radim,",1959-,NULL,NULL,"Narozen 1959 v Brně. Stavební inženýr, politik, autor práce o filozofických otázkách bytí.",20070314150209.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000377699&local_base=AUT,1387070,"2016-03-05 22:53:23",7040,"2016-08-24 00:00:00",84694578
mzk2007382013,oai:aleph-nkp.cz:AUT10-000382013,2012-06-30T22:32:48Z,"Svoboda, Richard,",1964-,NULL,NULL,"Narozen 21.1.1964 ve Zlíně. PhDr., filolog, práce z bohemistiky, též regionální historik Brněnska.",20070222175836.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000382013&local_base=AUT,1387070,"2016-03-05 22:56:48",7040,"2016-08-24 00:00:00",84696791
mzk2007401020,oai:aleph-nkp.cz:AUT10-000401020,2012-06-30T22:32:44Z,"Roman, Martin,",1969-,NULL,NULL,"Narozen 29. 10. 1969. Právník, ekonom, manager, práce o managementu.",20080908075217.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000401020&local_base=AUT,1387070,"2016-03-05 22:55:53",7040,"2016-08-24 00:00:00",84710480
