id,oai_identifier,oai_datestamp,auth_name,auth_date,auth_activity,auth_occupation,auth_biography,auth_datestamp,nkp_aut_url,cover,ts,harvest_max_eshop,harvest_last_time,viafID
xx0019202,oai:aleph-nkp.cz:AUT10-000228029,2012-06-30T22:31:23Z,"Blechová, Olga,",1948-,NULL,NULL,"Narozena 2.10.1948. Česká zpěvačka.",20090930094551.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000228029&local_base=AUT,1387079,"2016-03-05 22:35:48",7040,"2016-08-24 22:30:48",85421942
xx0019825,oai:aleph-nkp.cz:AUT10-000230816,2012-06-30T22:31:33Z,"Páralová, Alena,",1948-,NULL,NULL,"Narozena v r. 1948. Poslankyně Parlamentu České republiky za ODS, stínová ministryně práce a sociálních věcí.",20040604162101.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000230816&local_base=AUT,1387079,"2016-03-05 22:38:17",7040,"2016-08-24 22:53:15",85425706
xx0020286,oai:aleph-nkp.cz:AUT10-000232896,2014-01-21T01:01:28Z,"Marksová-Tominová, Michaela,",1969-,NULL,NULL,"Narozena 20. 3. 1969 v Praze. Mgr., odbornice v oblasti genderu a lidských práv, politička, autorka prací z oboru.",20140120080540.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000232896&local_base=AUT,1387079,"2016-03-06 10:21:20",7040,"2016-08-24 23:07:35",85428732
xx0021122,oai:aleph-nkp.cz:AUT10-000236595,2012-06-30T22:31:53Z,"Janoušková, Aťka,",1930-,NULL,NULL,"Narozena 16.3.1930 Praha. Herečka a zpěvačka.",20040719162822.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000236595&local_base=AUT,1387079,"2016-03-05 22:44:07",7040,"2016-08-24 23:34:57",85434123
xx0022842,oai:aleph-nkp.cz:AUT10-000243752,2012-06-30T22:32:20Z,"Cortésová, Dáša,",1947-,NULL,NULL,"Narozena 13. 8. 1947 v Praze. Dcera R. Cortése, zpěvačka, spoluautorka vzpomínek.",20061228103121.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000243752&local_base=AUT,1387079,"2016-03-05 22:50:38",7040,"2016-08-24 15:43:26",35624917
xx0024490,oai:aleph-nkp.cz:AUT10-000250330,2012-06-30T22:29:56Z,"Šmídová, Lenka,",1975-,NULL,NULL,"Narozena 26.3.1975 v Havlíčkově Brodě. Bakalářka ekonomie, jachtařka.",20041007150823.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000250330&local_base=AUT,1387079,"2016-03-05 22:17:44",7040,"2016-08-24 16:36:15",85453747
xx0025937,oai:aleph-nkp.cz:AUT10-000255558,2012-06-30T22:30:15Z,"Haščáková, Barbara,",1979-,NULL,NULL,"Slovenská zpěvačka, členka hudební skupiny MC Erik a Barbara.",20041206154131.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000255558&local_base=AUT,1387079,"2016-03-05 22:21:11",7040,"2016-08-24 17:16:10",85462040
xx0029016,oai:aleph-nkp.cz:AUT10-000269310,2012-06-30T22:31:02Z,"Dohnálková, Hana,",1980-,NULL,NULL,"Narozena 29. 3. 1980. Grafička.",20050119082640.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000269310&local_base=AUT,1387079,"2016-03-05 22:30:59",7040,"2016-08-24 14:26:39",85478402
xx0031499,oai:aleph-nkp.cz:AUT10-000278409,2013-01-29T01:01:22Z,"Kodetová, Barbora,",1970-,NULL,NULL,"Narozena 6. 9. 1970 v Praze. Herečka.",20130128090356.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000278409&local_base=AUT,1387079,"2016-03-06 09:57:04",7040,"2016-08-25 05:59:29",85493875
xx0032739,oai:aleph-nkp.cz:AUT10-000287494,2014-09-02T09:41:41Z,"Charanzová, Dita,",1975-,NULL,NULL,"Narozena 30. 4. 1975 v Praze. Ing. ekonomie, magistra mezinárodních vztahů, diplomatka, manažerka a politička, věnuje se problematice Evropské unie.",20140902114013.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000287494&local_base=AUT,1387079,"2016-03-06 10:37:51",7040,"2016-08-25 04:49:47",85501803
xx0033362,oai:aleph-nkp.cz:AUT10-000290685,2012-06-30T22:32:08Z,"Najma,",1962-,NULL,NULL,"Zpěvačka, worldbeat, hudba k filmům.",20050919172620.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000290685&local_base=AUT,1387079,"2016-03-05 22:48:16",7040,"2016-08-24 19:59:20",2658461
xx0034637,oai:aleph-nkp.cz:AUT10-000295831,2012-06-30T22:32:27Z,"Stočesová, Kateřina,",1979-,NULL,NULL,"Narozena 14.10.1979. Modelka.",20050805125911.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000295831&local_base=AUT,1387079,"2016-03-05 22:51:59",7040,"2016-08-24 20:48:04",85515109
xx0035330,oai:aleph-nkp.cz:AUT10-000299992,2012-06-30T22:32:39Z,"Homolová, Zuzana,",1948-,NULL,NULL,"Slovenská folková písničkářka.",20060609095102.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000299992&local_base=AUT,1387079,"2016-03-05 22:54:47",7040,"2016-08-24 15:14:33",85519636
xx0035419,oai:aleph-nkp.cz:AUT10-000300130,2012-06-30T22:30:32Z,"Zárybnická, Alena,",1969-,NULL,NULL,"Narozena 5.12.1969 v Praze. Redaktorka a moderátorka meteorologického zpravodajství.",20070821152028.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000300130&local_base=AUT,1387079,"2016-03-05 22:24:46",7040,"2016-08-24 15:17:07",85520178
xx0040252,oai:aleph-nkp.cz:AUT10-000326207,2012-06-30T22:32:01Z,"Pollertová-Trojanová, Klára,",1971-,NULL,NULL,"Narozena 17. 9. 1971. Herečka.",20060206120414.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000326207&local_base=AUT,1387079,"2016-03-05 22:46:20",7040,"2016-08-24 14:11:54",85552682
xx0040800,oai:aleph-nkp.cz:AUT10-000329357,2012-06-30T22:32:13Z,"Beňačková, Marta,",1953-,NULL,NULL,"Slovenská operní pěvkyně, VŠ pedagožka.",20060714114842.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000329357&local_base=AUT,1387079,"2016-03-05 22:49:28",7040,"2016-08-24 17:17:24",2663869
xx0043735,oai:aleph-nkp.cz:AUT10-000340536,2012-06-30T22:32:58Z,"Ebertová, Jana,",1920-2010,NULL,NULL,"Narozena 7. 5. 1920 v Praze, zemřela 10. 11. 2010 v Brně. Herečka.",20120523124622.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000340536&local_base=AUT,1387079,"2016-03-05 22:58:51",7040,"2016-08-24 21:42:44",85577237
xx0044072,oai:aleph-nkp.cz:AUT10-000341506,2012-06-30T22:33:03Z,"Nedvědická, Blanka,",1962-,NULL,NULL,"Narozena 29.1.1962 v Rakovníku. Sportovkyně, horolezkyně.",20060720135945.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000341506&local_base=AUT,1387079,"2016-03-05 22:59:56",7040,"2016-08-24 21:52:14",85579392
xx0045423,oai:aleph-nkp.cz:AUT10-000345032,2012-06-30T22:33:16Z,"Kajnarová, Zuzana,",1982-,NULL,NULL,"Narozena 17.6. 1982 v Ostravě. Herečka.",20071211145650.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000345032&local_base=AUT,1387079,"2016-03-05 23:02:56",7040,"2016-08-24 22:24:49",85586751
xx0046890,oai:aleph-nkp.cz:AUT10-000349223,2013-11-11T07:10:58Z,"Lorencová, Jana,",1940-,NULL,NULL,"Narozena 2. 4. 1940 v obci Biskupice-Pulkov (okr. Třebíč). Novinářka a politička, redaktorka České televize.",20131111081020.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000349223&local_base=AUT,1387079,"2016-03-06 10:17:31",7040,"2016-08-24 23:05:44",85596197
xx0049241,oai:aleph-nkp.cz:AUT10-000354623,2012-06-30T22:31:05Z,"Geislerová, Ester,",1984-,NULL,NULL,"Narozena 5. 3. 1984 v Praze. Herečka, modelka a výtvarnice.",20061012150444.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000354623&local_base=AUT,1387079,"2016-03-05 22:31:38",7040,"2016-08-24 15:31:37",85613510
xx0067501,oai:aleph-nkp.cz:AUT10-000417020,2014-10-13T06:11:07Z,"Liška-Boková, Kristýna,",1981-,NULL,NULL,"Narozena 23. 7. 1981 v Hradci Králové. Tanečnice, herečka.",20141013081025.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000417020&local_base=AUT,1387079,"2016-03-06 10:41:48",7040,"2016-08-24 17:16:04",85740428
xx0072345,oai:aleph-nkp.cz:AUT10-000434767,2012-06-30T22:34:38Z,"Špráchalová, Kamila,",1971-,NULL,NULL,"Narozena 5. 9. 1971 v Praze. Herečka.",20081003081642.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000434767&local_base=AUT,1387079,"2016-03-05 23:21:21",7040,"2016-08-24 21:59:12",85771270
xx0072931,oai:aleph-nkp.cz:AUT10-000436907,2012-06-30T22:34:44Z,"Charvátová, Olga,",1962-,NULL,NULL,"Narozena 11. 6. 1962 ve Zlíně. Lyžařka.",20080616140037.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000436907&local_base=AUT,1387079,"2016-03-05 23:22:46",7040,"2016-08-24 22:14:32",85775245
